Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
RELM,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.584423828125,-0.0819941042243,9,13556,8,1579,15902
RELM,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.584423828125,-3.24598133079,3,1875,1,246,2500
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.584423828125,0.420541993324,1,3544,4,472,4730
RELM,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.584423828125,-2.0,0,1621,0,217,2162
RELM,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.584423828125,0.604710362685,5,1233,0,159,1643
RELM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.584423828125,-0.247360699368,5,13576,1,1521,15853
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.584423828125,0.86067182427,2,3025,0,401,4032
RELM,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.584423828125,-4.0,0,931,0,126,1243
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.584423828125,-3.13759635579,1,3023,0,404,4032
RELM,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.584423828125,-8.0,0,19677,0,2268,22695
RELM,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.584423828125,3.64911773687,16,13522,9,1569,15866
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.584423828125,1.50256984665,2,3545,2,472,4730
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.584423828125,-0.55,0,3423,5,0,4032
RELM,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.584423828125,-2.11774401903,7,13501,0,1573,15831
RELM,reward_low_FN_rate,realTraffic/speed_6005.csv,0.584423828125,0.732622001756,2,1885,1,237,2500
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.584423828125,0.75067182427,5,3024,1,398,4032
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.584423828125,-0.494613450071,3,3021,2,402,4032
RELM,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.584423828125,1.1475200759,2,13495,6,1580,15833
RELM,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.584423828125,0.163893667073,7,13514,6,1581,15858
RELM,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.584423828125,1.52192617784,4,1872,3,246,2500
RELM,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.584423828125,0.0,0,3428,0,0,4032
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.584423828125,-1.24844919792,2,3025,1,400,4032
RELM,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.584423828125,0.823831144665,1,3025,0,402,4032
RELM,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.584423828125,-0.10628118078,10,15791,10,1489,18050
RELM,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.584423828125,0.0259271778228,2,1775,9,237,2380
RELM,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.584423828125,1.36809653126,4,1215,4,158,1624
RELM,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.584423828125,-0.44,0,3424,4,0,4032
RELM,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.584423828125,-0.266768992882,2,1155,0,151,1538
RELM,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.584423828125,0.506896806145,1,3021,4,402,4032
RELM,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.584423828125,0.539636969384,6,13541,12,1584,15893
RELM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.584423828125,1.72310160415,3,3026,0,399,4032
RELM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.584423828125,-1.13844919792,2,3026,0,400,4032
RELM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.584423828125,-1.13844919792,2,3026,0,400,4032
RELM,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.584423828125,-0.654822472614,3,13657,3,1429,15842
RELM,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.584423828125,-2.32665657998,0,1215,3,163,1624
RELM,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.584423828125,-2.3288642902,0,3022,3,403,4032
RELM,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.584423828125,-0.609074364051,2,13511,3,1585,15851
RELM,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.584423828125,-1.43379469549,1,1407,3,189,1882
RELM,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.584423828125,0.752098587352,2,1154,1,151,1538
RELM,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.584423828125,1.70586905384,5,3079,3,341,4032
RELM,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.584423828125,-0.377742303576,4,1231,1,161,1643
RELM,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.584423828125,0.0,0,3428,0,0,4032
